"Scaffold_ID_Smans" "Window_start_Smans" "Window_stop_Smans" "ERR562990_Depth_Smans" "ERR562989_Depth_Smans" "log2_FMcoverage_Smans" "flag_Smans"
"SM_V7_ZW" 1430001 1440000 29.6372 27.5123 0.107332401706898 "PAR"
"SM_V7_ZW" 1440001 1450000 27.6327 27.2777 0.0186545308455979 "PAR"
"SM_V7_ZW" 1450001 1460000 25.5204 24.8409 0.0389334975295822 "PAR"
"SM_V7_ZW" 1460001 1470000 27.8879 23.3935 0.253531575875602 "PAR"
"SM_V7_ZW" 1470001 1480000 25.0134 27.8055 -0.152669107732819 "PAR"
"SM_V7_ZW" 1480001 1490000 24.5299 22.9151 0.0982427709810814 "PAR"
"SM_V7_ZW" 1490001 1500000 25.9948 27.7046 -0.0919024821217683 "PAR"
"SM_V7_ZW" 1500001 1510000 25.9553 25.6533 0.0168847391939447 "PAR"
"SM_V7_ZW" 1510001 1520000 27.0934 25.7566 0.0729992882618294 "PAR"
"SM_V7_ZW" 1520001 1530000 30.8643 29.6745 0.0567153501114515 "PAR"
"SM_V7_ZW" 1530001 1540000 29.4657 28.3117 0.0576381601982965 "PAR"
"SM_V7_ZW" 1540001 1550000 26.2489 28.7186 -0.129728455367052 "PAR"
"SM_V7_ZW" 1550001 1560000 22.1062 24.3021 -0.136629934963891 "PAR"
"SM_V7_ZW" 1560001 1570000 25.1096 23.836 0.075096893862319 "PAR"
"SM_V7_ZW" 1570001 1580000 29.7658 28.5437 0.0604833120180765 "PAR"
"SM_V7_ZW" 1580001 1590000 28.2117 26.6316 0.0831544966184854 "PAR"
"SM_V7_ZW" 1590001 1600000 25.9757 29.2926 -0.173373624182982 "PAR"
"SM_V7_ZW" 1600001 1610000 25.6521 25.964 -0.0174357249075541 "PAR"
"SM_V7_ZW" 1610001 1620000 20.9963 22.8197 -0.120144708939787 "PAR"
"SM_V7_ZW" 1620001 1630000 25.466 26.4641 -0.055464220989977 "PAR"
"SM_V7_ZW" 1630001 1640000 25.2344 24.5433 0.0400625425854058 "PAR"
"SM_V7_ZW" 1640001 1650000 23.8579 27.3243 -0.19571747615528 "PAR"
"SM_V7_ZW" 1650001 1660000 26.5667 26.7433 -0.00955846468618212 "PAR"
"SM_V7_ZW" 1660001 1670000 27.3219 27.8721 -0.0287638912030222 "PAR"
"SM_V7_ZW" 1670001 1680000 26.4258 26.3683 0.00314258591971654 "PAR"
"SM_V7_ZW" 1680001 1690000 23.4217 24.541 -0.067348243620939 "PAR"
"SM_V7_ZW" 1690001 1700000 24.5564 29.0033 -0.240117984395483 "PAR"
"SM_V7_ZW" 1700001 1710000 26.4273 26.1116 0.0173381744279024 "PAR"
"SM_V7_ZW" 1710001 1720000 29.4029 26.0739 0.173352064771778 "PAR"
"SM_V7_ZW" 1720001 1730000 28.5827 25.5518 0.161717278199755 "PAR"
"SM_V7_ZW" 1730001 1740000 26.7198 30.0441 -0.169172496041333 "PAR"
"SM_V7_ZW" 1740001 1750000 27.6843 27.8979 -0.0110884843618016 "PAR"
"SM_V7_ZW" 1750001 1760000 26.5823 27.374 -0.0423403251779681 "PAR"
"SM_V7_ZW" 1760001 1770000 25.3428 25.688 -0.0195186406876696 "PAR"
"SM_V7_ZW" 1770001 1780000 29.2509 25.0213 0.225324266899386 "PAR"
"SM_V7_ZW" 1780001 1790000 30.3751 29.6024 0.0371750119380775 "PAR"
"SM_V7_ZW" 1790001 1800000 27.0754 29.5062 -0.124035481368998 "PAR"
"SM_V7_ZW" 1800001 1810000 28.2558 28.0035 0.0129398836812746 "PAR"
"SM_V7_ZW" 1810001 1820000 25.688 26.8159 -0.0619941039850269 "PAR"
"SM_V7_ZW" 1820001 1830000 24.7877 30.0221 -0.27640048188904 "PAR"
"SM_V7_ZW" 1830001 1840000 27.4226 26.7036 0.0383311133687923 "PAR"
"SM_V7_ZW" 1840001 1850000 23.5512 26.2176 -0.154735053961352 "PAR"
"SM_V7_ZW" 1850001 1860000 27.9143 27.8443 0.00362235443203233 "PAR"
"SM_V7_ZW" 1860001 1870000 27.4566 24.4931 0.164777603062116 "PAR"
"SM_V7_ZW" 1870001 1880000 22.7796 25.2938 -0.151041381609702 "PAR"
"SM_V7_ZW" 1880001 1890000 23.3808 25.6436 -0.133274516098977 "PAR"
"SM_V7_ZW" 1890001 1900000 30.1645 27.1913 0.149706541362832 "PAR"
"SM_V7_ZW" 1900001 1910000 27.263 27.7538 -0.0257409922225753 "PAR"
"SM_V7_ZW" 1910001 1920000 30.7229 29.0602 0.0802697695311733 "PAR"
"SM_V7_ZW" 1920001 1930000 25.7157 31.6537 -0.299724720658457 "PAR"
"SM_V7_ZW" 1930001 1940000 28.0475 27.8723 0.00904012525812091 "PAR"
"SM_V7_ZW" 1940001 1950000 26.4989 23.7855 0.155850120163241 "PAR"
"SM_V7_ZW" 1950001 1960000 26.7426 25.163 0.0878358011932203 "PAR"
"SM_V7_ZW" 1960001 1970000 29.1013 24.2104 0.265456686498683 "PAR"
"SM_V7_ZW" 1970001 1980000 24.4447 23.3944 0.0633584716998087 "PAR"
"SM_V7_ZW" 1980001 1990000 25.2278 24.0045 0.0717095152265177 "PAR"
"SM_V7_ZW" 1990001 2000000 28.0227 26.6948 0.0700372265613294 "PAR"
"SM_V7_ZW" 2000001 2010000 27.4372 23.3289 0.23401497698489 "PAR"
"SM_V7_ZW" 2010001 2020000 24.811 24.1056 0.0416115442422868 "PAR"
"SM_V7_ZW" 2020001 2030000 22.3436 25.794 -0.207173864634579 "PAR"
"SM_V7_ZW" 2030001 2040000 22.3892 24.9518 -0.156340914581342 "PAR"
"SM_V7_ZW" 2040001 2050000 24.6604 24.1802 0.0283700234312269 "PAR"
"SM_V7_ZW" 2050001 2060000 24.7466 25.7059 -0.0548692006026498 "PAR"
"SM_V7_ZW" 2060001 2070000 25.7977 26.6528 -0.0470446551707062 "PAR"
