Scaffold_ID	Window_start	Window_stop	ERR562990_Depth	ERR562989_Depth
SM_V7_ZWH035	10001	20000	5.9628	6.6716
SM_V7_ZWH035	17860	27859	10.1166	6.27573
SM_V7_2H006	1	10000	12.3422	14.3523
SM_V7_2H006	10001	20000	8.4627	12.6576
SM_V7_2H006	20001	30000	3.2525	15.8217
SM_V7_2H006	30001	40000	5.3115	16.0598
SM_V7_2H006	40001	50000	3.6179	16.7429
SM_V7_2H006	50001	60000	3.7789	13.4959
SM_V7_2H006	60001	70000	2.8822	12.7787
SM_V7_2H006	70001	80000	5.8692	14.5557
SM_V7_2H006	80001	90000	11.6363	13.6098
SM_V7_2H006	90001	100000	20.8967	21.4897
SM_V7_2H006	100001	110000	13.4997	13.5558
SM_V7_2H006	110001	120000	2.9883	14.8642
SM_V7_2H006	115935	125934	6.37243	15.1476
SM_V7_ZWH036	1	10000	11.1068	11.2626
SM_V7_ZWH036	10001	20000	10.1548	9.7616
SM_V7_ZWH036	17603	27602	12.5851	13.2952
SM_V7_2H009	1	10000	9.8877	11.4469
SM_V7_2H009	10001	20000	11.7412	6.7666
SM_V7_2H009	20001	30000	11.8657	2.4783
SM_V7_2H009	30001	40000	12.3907	0.9933
SM_V7_2H009	40001	50000	15.4691	5.0431
SM_V7_2H009	50001	60000	15.0972	6.9288
SM_V7_2H009	60001	70000	12.5643	6.3178
SM_V7_2H009	66737	76736	14.2372	11.7162
SM_V7_ZWH037	1	10000	14.0307	12.9858
SM_V7_ZWH037	10001	20000	14.3655	10.8519
SM_V7_ZWH037	16960	26959	14.0937	9.59994
SM_V7_2H008	1	10000	12.4819	13.9591
SM_V7_2H008	10001	20000	23.3361	15.3431
SM_V7_2H008	20001	30000	27.9417	13.4903
SM_V7_2H008	30001	40000	29.163	13.8177
SM_V7_2H008	40001	50000	22.261	17.39
SM_V7_2H008	50001	60000	21.7593	14.4902
SM_V7_2H008	60001	70000	21.859	11.1315
SM_V7_2H008	70001	80000	22.0125	13.6779
SM_V7_2H008	75876	85875	25.0504	14.702
SM_V7_ZWH038	1	10000	11.8147	11.9043
SM_V7_ZWH038	10001	20000	12.7405	15.3749
SM_V7_ZWH038	16673	26672	18.0686	17.7854
SM_V7_2H003	1	10000	13.0215	13.8466
SM_V7_2H003	10001	20000	17.8914	13.4168
SM_V7_2H003	20001	30000	21.1062	17.0814
SM_V7_2H003	30001	40000	26.927	23.8767
SM_V7_2H003	40001	50000	23.7027	19.9739
SM_V7_2H003	50001	60000	16.3421	15.0186
SM_V7_2H003	60001	70000	17.77	22.6845
SM_V7_2H003	70001	80000	20.9209	23.1939
SM_V7_2H003	80001	90000	18.4312	20.8682
SM_V7_2H003	90001	100000	1.9641	1.9447
SM_V7_2H003	100001	110000	0	0
SM_V7_2H003	110001	120000	16.021	17.8733
SM_V7_2H003	120001	130000	17.3541	17.8679
SM_V7_2H003	128433	138432	13.5536	17.7073
SM_V7_3H005	1	10000	10.9404	12.6598
SM_V7_3H005	10001	20000	11.9672	12.7767
SM_V7_3H005	20001	30000	13.28	10.2707
SM_V7_3H005	30001	40000	39.6029	8.8691
SM_V7_4H022	1	10000	16.6468	17.9205
SM_V7_4H022	10001	20000	17.0233	16
SM_V7_4H022	20001	30000	23.0165	21.7558
SM_V7_4H022	25162	35161	20.9397	22.6501
SM_V7_2H002	1	10000	10.9413	12.9739
SM_V7_2H002	10001	20000	7.7077	9.1516
SM_V7_2H002	20001	30000	2.2914	2.4408
SM_V7_2H002	30001	40000	4.5193	3.6685
SM_V7_2H002	40001	50000	4.1963	6.7756
SM_V7_2H002	50001	60000	4.3238	4.411
SM_V7_2H002	60001	70000	2.0018	2.3368
SM_V7_2H002	70001	80000	1.2447	1.3478
SM_V7_2H002	80001	90000	0	0.0078
SM_V7_2H002	90001	100000	0	0
SM_V7_2H002	100001	110000	1.4315	1.3384
SM_V7_2H002	110001	120000	4.5912	4.8872
SM_V7_2H002	120001	130000	2.8727	2.8603
SM_V7_2H002	130001	140000	0.7854	0.3546
SM_V7_2H002	140001	150000	0.029	0
SM_V7_2H002	150001	160000	12.3647	10.6831
SM_V7_2H002	155533	165532	12.7176	12.4488
SM_V7_3H006	1	10000	13.493	12.3086
SM_V7_3H006	10001	20000	14.2135	13.368
SM_V7_3H006	20001	30000	18.151	16.6583
SM_V7_3H006	30001	40000	16.6457	16.9376
SM_V7_4H021	1	10000	12.1213	12.9355
SM_V7_4H021	10001	20000	12.8642	13.4026
SM_V7_4H021	20001	30000	16.9855	17.2751
SM_V7_4H021	27031	37030	11.0752	13.5398
SM_V7_2H005	1	10000	13.4199	16.6054
SM_V7_2H005	10001	20000	21.444	22.1037
SM_V7_2H005	20001	30000	18.1088	17.5543
SM_V7_2H005	30001	40000	19.3339	17.9918
SM_V7_2H005	40001	50000	18.755	18.6786
SM_V7_2H005	50001	60000	19.1695	17.9901
SM_V7_2H005	60001	70000	16.5953	15.8107
SM_V7_2H005	70001	80000	18.0166	13.3705
SM_V7_2H005	80001	90000	14.6076	14.9857
SM_V7_2H005	90001	100000	16.3516	14.2966
SM_V7_2H005	100001	110000	16.2158	13.971
SM_V7_2H005	110001	120000	18.2507	16.1093
SM_V7_2H005	120001	130000	15.1713	12.4308
SM_V7_3H007	1	10000	11.7932	11.8328
SM_V7_3H007	10001	20000	12.3624	13.7845
SM_V7_3H007	20001	30000	12.7582	11.7742
SM_V7_3H007	30001	40000	13.2456	12.6134
SM_V7_4H024	1	10000	15.9933	14.955
SM_V7_4H024	10001	20000	13.1607	12.4902
SM_V7_4H024	20001	30000	12.8185	12.2341
SM_V7_2H004	1	10000	25.4382	11.6585
SM_V7_2H004	10001	20000	26.7713	15.0284
SM_V7_2H004	20001	30000	32.3034	17.6852
SM_V7_2H004	30001	40000	32.3443	17.2367
SM_V7_2H004	40001	50000	27.3826	16.5997
SM_V7_2H004	50001	60000	23.444	12.3697
SM_V7_2H004	60001	70000	20.7119	14.5413
SM_V7_2H004	70001	80000	25.287	19.7301
SM_V7_2H004	80001	90000	21.9499	14.3568
SM_V7_2H004	90001	100000	26.4701	11.1726
SM_V7_2H004	100001	110000	22.8754	12.6164
SM_V7_2H004	110001	120000	25.6565	13.0373
SM_V7_2H004	120001	130000	13.5543	10.8119
SM_V7_3H008	1	10000	17.2647	16.0594
SM_V7_3H008	10001	20000	12.7174	13.1962
SM_V7_3H008	20001	30000	17.4492	12.6068
SM_V7_3H008	30001	40000	14.136	13.8367
SM_V7_4H023	1	10000	15.8221	15.187
SM_V7_4H023	10001	20000	11.5134	11.7591
SM_V7_4H023	20001	30000	17.8521	15.5447
SM_V7_3H009	1	10000	11.3	11.1022
SM_V7_3H009	10001	20000	12.3908	10.7091
SM_V7_3H009	20001	30000	13.5602	12.9894
SM_V7_3H009	28308	38307	11.5273	13.6693
SM_V7_4H026	1	10000	12.5755	11.8572
SM_V7_4H026	10001	20000	19.5396	17.6521
SM_V7_4H026	20001	30000	13.315	12.7817
SM_V7_4H025	1	10000	12.0218	12.7696
SM_V7_4H025	10001	20000	17.48	18.9386
SM_V7_4H025	20001	30000	15.5072	12.8008
SM_V7_6H010	1	10000	15.3929	15.1651
SM_V7_6H010	10001	20000	11.133	9.3617
SM_V7_6H010	20001	30000	10.3655	6.2863
SM_V7_6H010	30001	40000	15.2088	14.0402
SM_V7_4H028	1	10000	14.9436	14.8023
SM_V7_4H028	10001	20000	14.0483	14.3411
